id,study,source_family,target_family,variant,variant_label,head,seeds_target,seeds_done,status,wall_hours_remaining,priority,paper_table,dependencies,notes
B-commerce-1-V0,Backbone Training,commerce-1,—,V0,Vanilla-4,native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,Vanilla-4 on commerce-1; params=11.4M
B-commerce-1-V2,Backbone Training,commerce-1,—,V2,"SMPNN-6 (D1, default)",native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,"SMPNN-6 (D1, default) on commerce-1; params=17.2M"
B-commerce-1-V5,Backbone Training,commerce-1,—,V5,SMPNN-6 alpha=1e-2 (D3),native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 alpha=1e-2 (D3) on commerce-1; params=17.2M
B-commerce-2-V0,Backbone Training,commerce-2,—,V0,Vanilla-4,native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,Vanilla-4 on commerce-2; params=11.4M
B-commerce-2-V2,Backbone Training,commerce-2,—,V2,"SMPNN-6 (D1, default)",native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,"SMPNN-6 (D1, default) on commerce-2; params=17.2M"
B-commerce-2-V5,Backbone Training,commerce-2,—,V5,SMPNN-6 alpha=1e-2 (D3),native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 alpha=1e-2 (D3) on commerce-2; params=17.2M
B-others-2-V0,Backbone Training,others-2,—,V0,Vanilla-4,native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,Vanilla-4 on others-2; params=11.4M
B-others-2-V2,Backbone Training,others-2,—,V2,"SMPNN-6 (D1, default)",native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,"SMPNN-6 (D1, default) on others-2; params=17.2M"
B-others-2-V5,Backbone Training,others-2,—,V5,SMPNN-6 alpha=1e-2 (D3),native (training-only),3,0,TODO,10.5,P0,T1 backbone ablation (in-dist) / T2 cross-task transfer,—,SMPNN-6 alpha=1e-2 (D3) on others-2; params=17.2M
X-c1->c2-V0-tabicl-zs,Cross-task ICL eval,commerce-1,commerce-2,V0,Vanilla-4,tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-1-V0,c1->c2: Vanilla-4 -> tabicl-zs no-proj
X-c1->c2-V0-tabpfn-zs,Cross-task ICL eval,commerce-1,commerce-2,V0,Vanilla-4,tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-1-V0,c1->c2: Vanilla-4 -> tabpfn-zs no-proj
X-c1->c2-V2-tabicl-zs,Cross-task ICL eval,commerce-1,commerce-2,V2,"SMPNN-6 (D1, default)",tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-1-V2,"c1->c2: SMPNN-6 (D1, default) -> tabicl-zs no-proj"
X-c1->c2-V2-tabpfn-zs,Cross-task ICL eval,commerce-1,commerce-2,V2,"SMPNN-6 (D1, default)",tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-1-V2,"c1->c2: SMPNN-6 (D1, default) -> tabpfn-zs no-proj"
X-c1->c2-V5-tabicl-zs,Cross-task ICL eval,commerce-1,commerce-2,V5,SMPNN-6 alpha=1e-2 (D3),tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-1-V5,c1->c2: SMPNN-6 alpha=1e-2 (D3) -> tabicl-zs no-proj
X-c1->c2-V5-tabpfn-zs,Cross-task ICL eval,commerce-1,commerce-2,V5,SMPNN-6 alpha=1e-2 (D3),tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-1-V5,c1->c2: SMPNN-6 alpha=1e-2 (D3) -> tabpfn-zs no-proj
X-c2->c1-V0-tabicl-zs,Cross-task ICL eval,commerce-2,commerce-1,V0,Vanilla-4,tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-2-V0,c2->c1: Vanilla-4 -> tabicl-zs no-proj
X-c2->c1-V0-tabpfn-zs,Cross-task ICL eval,commerce-2,commerce-1,V0,Vanilla-4,tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-2-V0,c2->c1: Vanilla-4 -> tabpfn-zs no-proj
X-c2->c1-V2-tabicl-zs,Cross-task ICL eval,commerce-2,commerce-1,V2,"SMPNN-6 (D1, default)",tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-2-V2,"c2->c1: SMPNN-6 (D1, default) -> tabicl-zs no-proj"
X-c2->c1-V2-tabpfn-zs,Cross-task ICL eval,commerce-2,commerce-1,V2,"SMPNN-6 (D1, default)",tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-2-V2,"c2->c1: SMPNN-6 (D1, default) -> tabpfn-zs no-proj"
X-c2->c1-V5-tabicl-zs,Cross-task ICL eval,commerce-2,commerce-1,V5,SMPNN-6 alpha=1e-2 (D3),tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-2-V5,c2->c1: SMPNN-6 alpha=1e-2 (D3) -> tabicl-zs no-proj
X-c2->c1-V5-tabpfn-zs,Cross-task ICL eval,commerce-2,commerce-1,V5,SMPNN-6 alpha=1e-2 (D3),tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-commerce-2-V5,c2->c1: SMPNN-6 alpha=1e-2 (D3) -> tabpfn-zs no-proj
X-o1->o2-V0-tabicl-zs,Cross-task ICL eval,others-1,others-2,V0,Vanilla-4,tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-1-V0,o1->o2: Vanilla-4 -> tabicl-zs no-proj
X-o1->o2-V0-tabpfn-zs,Cross-task ICL eval,others-1,others-2,V0,Vanilla-4,tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-1-V0,o1->o2: Vanilla-4 -> tabpfn-zs no-proj
X-o1->o2-V2-tabicl-zs,Cross-task ICL eval,others-1,others-2,V2,"SMPNN-6 (D1, default)",tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-1-V2,"o1->o2: SMPNN-6 (D1, default) -> tabicl-zs no-proj"
X-o1->o2-V2-tabpfn-zs,Cross-task ICL eval,others-1,others-2,V2,"SMPNN-6 (D1, default)",tabpfn-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-1-V2,"o1->o2: SMPNN-6 (D1, default) -> tabpfn-zs no-proj"
X-o1->o2-V5-tabicl-zs,Cross-task ICL eval,others-1,others-2,V5,SMPNN-6 alpha=1e-2 (D3),tabicl-zs,3,0,TODO,0.3,P0,T2 cross-task transfer matrix,requires backbone B-others-1-V5,o1->o2: SMPNN-6 alpha=1e-2 (D3) -> tabicl-zs no-proj
